LGA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA10050,2508,4502,3364,2820,3004,2504,1542,2328,333,22907
LGA10130,1816,2865,1373,1426,1524,1191,497,1469,163,12327
LGA10250,2293,3896,2391,2098,2030,1850,785,1828,288,17463
LGA10300,216,83,116,95,104,40,100,195,28,982
LGA10470,2173,3437,2626,2446,2182,1773,1162,2074,292,18165
LGA10550,1790,2111,2023,1612,1438,1409,763,1816,203,13153
LGA10600,683,1047,686,587,499,391,308,616,78,4890
LGA10650,682,400,434,364,332,250,282,484,60,3282
LGA10750,14581,28795,19183,15005,24781,13991,16596,15392,3138,151468
LGA10800,701,268,352,191,240,159,276,306,49,2541
LGA10850,557,458,460,318,366,231,338,430,67,3222
LGA10900,4476,10277,4613,4327,4796,2695,1496,2695,494,35860
LGA10950,280,121,156,127,105,61,157,149,18,1173
LGA11100,2950,5149,2795,2475,3504,2233,1480,1957,420,22963
LGA11150,198,161,108,169,98,54,64,119,32,1000
LGA11200,125,84,40,96,40,15,21,65,16,498
LGA11250,646,1111,1022,1047,751,704,721,761,138,6902
LGA11300,1906,4934,1842,1700,2351,1830,629,1552,434,17174
LGA11350,2034,3312,1924,1666,1285,1310,473,1318,229,13557
LGA11400,1258,993,865,557,711,417,420,699,103,6032
LGA11450,5134,7139,6004,4051,6634,3991,3265,3061,738,40014
LGA11500,5781,10530,9575,7784,11103,6717,8178,7780,1378,68841
LGA11520,8212,14788,3894,3328,6596,4058,1041,1937,837,44699
LGA11570,13901,26143,19353,14510,20862,13821,11649,14647,3307,138192
LGA11600,456,97,121,102,121,50,150,263,22,1384
LGA11650,15643,25902,21602,17315,19083,14852,8354,14463,2383,139593
LGA11700,182,58,27,91,34,15,32,101,17,564
LGA11720,1962,2437,3892,2531,2402,2200,2838,3009,358,21626
LGA11730,2062,2705,2497,2421,2144,1886,1302,2255,299,17565
LGA11750,315,242,372,179,186,111,358,214,38,2014
LGA11800,3534,5555,4006,3674,3865,3199,1590,3702,507,29620
LGA12000,426,237,234,179,170,128,132,190,30,1728
LGA12150,409,169,148,164,145,82,85,192,36,1419
LGA12350,859,651,646,518,489,485,318,746,92,4811
LGA12380,7727,16449,13373,8435,12364,8099,7335,10503,2546,86838
LGA12700,608,550,699,358,488,280,363,471,64,3885
LGA12730,693,553,477,409,449,330,274,546,69,3812
LGA12750,1588,2065,2094,1717,1609,1515,708,1466,225,12976
LGA12850,5589,9925,10767,7236,10080,6857,8736,10611,2088,71899
LGA12870,870,555,741,497,498,441,412,862,85,4970
LGA12900,758,560,549,382,398,379,322,508,90,3944
LGA12930,8433,17669,8019,6848,10838,7050,3551,5736,1375,69537
LGA12950,487,216,208,223,138,119,128,241,25,1783
LGA13010,689,416,388,388,346,282,206,438,68,3224
LGA13310,1468,1844,1845,1947,1550,1266,1088,1501,211,12722
LGA13340,1088,615,640,442,522,339,346,554,72,4614
LGA13450,1804,1547,1611,1036,1373,1240,800,2098,206,11713
LGA13510,730,562,590,467,454,367,311,812,80,4382
LGA13550,905,717,726,500,539,426,780,689,101,5381
LGA13660,690,236,180,165,190,106,169,308,38,2083
LGA13800,4152,4781,6018,3261,4894,2834,2698,3121,576,32329
LGA13850,253,126,179,124,130,108,152,207,27,1296
LGA13910,1557,903,1056,713,807,708,499,1203,110,7563
LGA14000,11022,23871,6925,6254,10364,5835,1751,3751,1021,70798
LGA14100,1456,2226,347,474,860,534,81,150,106,6240
LGA14170,16318,37401,8446,8446,12773,7250,2467,4862,1608,99575
LGA14200,1044,895,864,744,607,662,375,1044,147,6393
LGA14300,431,270,273,292,256,156,201,411,32,2318
LGA14350,1100,1375,1308,1383,1054,974,666,1384,218,9463
LGA14400,1358,2434,1425,1145,1150,721,476,636,147,9488
LGA14500,11583,21592,2805,3962,7330,4502,639,1536,973,54920
LGA14550,663,460,381,346,323,230,255,513,64,3239
LGA14600,681,300,306,246,234,167,211,276,45,2472
LGA14650,8453,17116,13704,9812,12170,8597,5768,8395,1253,85264
